Context,Question,T5 Answer,Heystack Answer
"Muhammad Ali was the founder of the Muhammad Ali dynasty and the first Khedive of Egypt and Sudan. After the French were expelled, power was seized in 1805 by Muhammad Ali Pasha, an Albanian military commander of the Ottoman army in Egypt. While he carried the title of viceroy of Egypt, his subordination to the Ottoman porte was merely nominal. Muhammad Ali massacred the Mamluks and established a dynasty that was to rule Egypt until the revolution of 1952.",What title did Muhammad Ali Pasha hold?,viceroy of Egypt,viceroy of Egypt
"Muhammad Ali was the founder of the Muhammad Ali dynasty and the first Khedive of Egypt and Sudan. After the French were expelled, power was seized in 1805 by Muhammad Ali Pasha, an Albanian military commander of the Ottoman army in Egypt. While he carried the title of viceroy of Egypt, his subordination to the Ottoman porte was merely nominal. Muhammad Ali massacred the Mamluks and established a dynasty that was to rule Egypt until the revolution of 1952.",When did the revolution take place?,1952,1952
"Muhammad Ali annexed Northern Sudan,Syria,and parts of Arabia and Anatoliaand but in 1841 the European powers, fearful lest he topple the Ottoman Empire itself, forced him to return most of his conquests to the Ottomans. His military ambition required him to modernise the country: he built industries, a system of canals for irrigation and transport, and reformed the civil service.",When did the European powers force Muhammad Ali to return most of his conquests to the Ottomans?,1841,1841
"Muhammad Ali annexed Northern Sudan,Syria,and parts of Arabia and Anatoliaand but in 1841 the European powers, fearful lest he topple the Ottoman Empire itself, forced him to return most of his conquests to the Ottomans. His military ambition required him to modernise the country: he built industries, a system of canals for irrigation and transport, and reformed the civil service.",What was Ali's military ambition?,modernise,modernise the country
"Muhammad Ali Pasha evolved the military from one that convened under the tradition of the corve to a great modernised army. He introduced conscription of the male peasantry in 19th century Egypt, and took a novel approach to create his great army, strengthening it with numbers and in skill. Education and training of the new soldiers became mandatoryand the new concepts were furthermore enforced by isolation. The men were held in barracks to avoid distraction of their growth as a military unit to be reckoned with. The resentment for the military way of life eventually faded from the men and a new ideology took hold, one of nationalism and pride. It was with the help of this newly reborn martial unit that Muhammad Ali imposed his rule over Egypt.",What tradition did the military convene under?,the corve,the corvée
"Muhammad Ali Pasha evolved the military from one that convened under the tradition of the corve to a great modernised army. He introduced conscription of the male peasantry in 19th century Egypt, and took a novel approach to create his great army, strengthening it with numbers and in skill. Education and training of the new soldiers became mandatoryand the new concepts were furthermore enforced by isolation. The men were held in barracks to avoid distraction of their growth as a military unit to be reckoned with. The resentment for the military way of life eventually faded from the men and a new ideology took hold, one of nationalism and pride. It was with the help of this newly reborn martial unit that Muhammad Ali imposed his rule over Egypt.",When did Muhammad Ali Pasha introduce conscription of the male peasantry?,19th century,19th century Egypt
"Muhammad Ali Pasha evolved the military from one that convened under the tradition of the corve to a great modernised army. He introduced conscription of the male peasantry in 19th century Egypt, and took a novel approach to create his great army, strengthening it with numbers and in skill. Education and training of the new soldiers became mandatoryand the new concepts were furthermore enforced by isolation. The men were held in barracks to avoid distraction of their growth as a military unit to be reckoned with. The resentment for the military way of life eventually faded from the men and a new ideology took hold, one of nationalism and pride. It was with the help of this newly reborn martial unit that Muhammad Ali imposed his rule over Egypt.",What enforced the new concepts of the military?,isolation,Frequent contacts with other nations
"Muhammad Ali Pasha evolved the military from one that convened under the tradition of the corve to a great modernised army. He introduced conscription of the male peasantry in 19th century Egypt, and took a novel approach to create his great army, strengthening it with numbers and in skill. Education and training of the new soldiers became mandatoryand the new concepts were furthermore enforced by isolation. The men were held in barracks to avoid distraction of their growth as a military unit to be reckoned with. The resentment for the military way of life eventually faded from the men and a new ideology took hold, one of nationalism and pride. It was with the help of this newly reborn martial unit that Muhammad Ali imposed his rule over Egypt.",Where were the new soldiers held?,barracks,barracks
"Muhammad Ali Pasha evolved the military from one that convened under the tradition of the corve to a great modernised army. He introduced conscription of the male peasantry in 19th century Egypt, and took a novel approach to create his great army, strengthening it with numbers and in skill. Education and training of the new soldiers became mandatoryand the new concepts were furthermore enforced by isolation. The men were held in barracks to avoid distraction of their growth as a military unit to be reckoned with. The resentment for the military way of life eventually faded from the men and a new ideology took hold, one of nationalism and pride. It was with the help of this newly reborn martial unit that Muhammad Ali imposed his rule over Egypt.",What was the new ideology of Muhammad Ali Pasha?,nationalism and pride,nationalism and pride
"Muhammad Ali Pasha evolved the military from one that convened under the tradition of the corve to a great modernised army. He introduced conscription of the male peasantry in 19th century Egypt, and took a novel approach to create his great army, strengthening it with numbers and in skill. Education and training of the new soldiers became mandatoryand the new concepts were furthermore enforced by isolation. The men were held in barracks to avoid distraction of their growth as a military unit to be reckoned with. The resentment for the military way of life eventually faded from the men and a new ideology took hold, one of nationalism and pride. It was with the help of this newly reborn martial unit that Muhammad Ali imposed his rule over Egypt.",What helped Muhammad Ali impose his rule over Egypt?,reborn martial unit,massacred the Mamluks
"Khedivate of Egypt Main article: Khedivate of Egypt Egypt under the Muhammad Ali dynasty remained nominally an Ottoman province. It was granted the status of an autonomous vassal state or Khedivate in 1867, a legal status which was to remain in place until 1914 although the Ottomans had no power or presence.",What dynasty controlled Khedivate of Egypt?,Muhammad Ali,Muhammad Ali
"Khedivate of Egypt Main article: Khedivate of Egypt Egypt under the Muhammad Ali dynasty remained nominally an Ottoman province. It was granted the status of an autonomous vassal state or Khedivate in 1867, a legal status which was to remain in place until 1914 although the Ottomans had no power or presence.",When was Khedivate of Egypt granted the status of an autonomous vassal state?,1867,1867
"The Suez Canal, built in partnership with the French, was completed in 1869. Its construction was financed by European banks. Large sums also went to patronage and corruption. New taxes caused popular discontent. In 1875 Isma'il avoided bankruptcy by selling all Egypt's shares in the canal to the British government. Within three years this led to the imposition of British and French controllers who sat in the Egyptian cabinet, and, 'with the financial power of the bondholders behind them, were the real power in the Government.'",When was the Suez Canal completed?,1869,1869
"The Suez Canal, built in partnership with the French, was completed in 1869. Its construction was financed by European banks. Large sums also went to patronage and corruption. New taxes caused popular discontent. In 1875 Isma'il avoided bankruptcy by selling all Egypt's shares in the canal to the British government. Within three years this led to the imposition of British and French controllers who sat in the Egyptian cabinet, and, 'with the financial power of the bondholders behind them, were the real power in the Government.'",Who financed the construction of the Suez Canal?,European banks,European banks
"The Suez Canal, built in partnership with the French, was completed in 1869. Its construction was financed by European banks. Large sums also went to patronage and corruption. New taxes caused popular discontent. In 1875 Isma'il avoided bankruptcy by selling all Egypt's shares in the canal to the British government. Within three years this led to the imposition of British and French controllers who sat in the Egyptian cabinet, and, 'with the financial power of the bondholders behind them, were the real power in the Government.'",What did large sums of money go to in the construction of the Suez Canal?,patronage and corruption,patronage and corruption
"The Suez Canal, built in partnership with the French, was completed in 1869. Its construction was financed by European banks. Large sums also went to patronage and corruption. New taxes caused popular discontent. In 1875 Isma'il avoided bankruptcy by selling all Egypt's shares in the canal to the British government. Within three years this led to the imposition of British and French controllers who sat in the Egyptian cabinet, and, 'with the financial power of the bondholders behind them, were the real power in the Government.'",What caused discontent in Egypt?,New taxes,New taxes
"The Suez Canal, built in partnership with the French, was completed in 1869. Its construction was financed by European banks. Large sums also went to patronage and corruption. New taxes caused popular discontent. In 1875 Isma'il avoided bankruptcy by selling all Egypt's shares in the canal to the British government. Within three years this led to the imposition of British and French controllers who sat in the Egyptian cabinet, and, 'with the financial power of the bondholders behind them, were the real power in the Government.'",Who avoided bankruptcy by selling all Egypt's shares in the Suez Canal to the British government?,Isma'il,Isma'il
"The Suez Canal, built in partnership with the French, was completed in 1869. Its construction was financed by European banks. Large sums also went to patronage and corruption. New taxes caused popular discontent. In 1875 Isma'il avoided bankruptcy by selling all Egypt's shares in the canal to the British government. Within three years this led to the imposition of British and French controllers who sat in the Egyptian cabinet, and, 'with the financial power of the bondholders behind them, were the real power in the Government.'",How long did it take for Isma'il to avoid bankruptcy?,three years,three years
"The battle of Tel el-Kebir in 1882 during the Anglo-Egyptian War Local dissatisfaction with the Khedive and with European intrusion led to the formation of the first nationalist groupings in 1879, with Ahmed Urabi a prominent figure. After increasing tensions and nationalist revolts, the United Kingdom invaded Egypt in 1882, crushing the Egyptian army at the Battle of Tell El Kebir and militarily occupying the country. Following this, the Khedivate became a de facto British protectorate under nominal Ottoman sovereignty.",Who was a prominent figure in the first nationalist groupings?,Ahmed Urabi,Ahmed ʻUrabi
"The battle of Tel el-Kebir in 1882 during the Anglo-Egyptian War Local dissatisfaction with the Khedive and with European intrusion led to the formation of the first nationalist groupings in 1879, with Ahmed Urabi a prominent figure. After increasing tensions and nationalist revolts, the United Kingdom invaded Egypt in 1882, crushing the Egyptian army at the Battle of Tell El Kebir and militarily occupying the country. Following this, the Khedivate became a de facto British protectorate under nominal Ottoman sovereignty.",When were the first nationalist groups formed?,1879,1879
"The battle of Tel el-Kebir in 1882 during the Anglo-Egyptian War Local dissatisfaction with the Khedive and with European intrusion led to the formation of the first nationalist groupings in 1879, with Ahmed Urabi a prominent figure. After increasing tensions and nationalist revolts, the United Kingdom invaded Egypt in 1882, crushing the Egyptian army at the Battle of Tell El Kebir and militarily occupying the country. Following this, the Khedivate became a de facto British protectorate under nominal Ottoman sovereignty.",When did the UK invade Egypt?,1882,1882
"The battle of Tel el-Kebir in 1882 during the Anglo-Egyptian War Local dissatisfaction with the Khedive and with European intrusion led to the formation of the first nationalist groupings in 1879, with Ahmed Urabi a prominent figure. After increasing tensions and nationalist revolts, the United Kingdom invaded Egypt in 1882, crushing the Egyptian army at the Battle of Tell El Kebir and militarily occupying the country. Following this, the Khedivate became a de facto British protectorate under nominal Ottoman sovereignty.",What did the Khedivate become under nominal Ottoman sovereignty?,British protectorate,a de facto British protectorate
